18MAT31,Transform Calculus Fourier Series And Numerical Techniques,3rd SEMESTER,Mechanical Engineering
18ME32,Mechanics of Materials,3rd SEMESTER,Mechanical Engineering
18ME33,Basic Thermodynamics,3rd SEMESTER,Mechanical Engineering
18ME34,Material Science,3rd SEMESTER,Mechanical Engineering
18ME35A,Metal cutting and forming,3rd SEMESTER,Mechanical Engineering
18ME35B,Metal Casting and Welding,3rd SEMESTER,Mechanical Engineering
18ME36A,Computer Aided Machine Drawing,3rd SEMESTER,Mechanical Engineering
18ME36B,Mechanical Measurements and Metrology,3rd SEMESTER,Mechanical Engineering
18MEL37A,Material Testing lab,3rd SEMESTER,Mechanical Engineering
18MEL37B,Mechanical Measurements and Metrology lab,3rd SEMESTER,Mechanical Engineering
18MEL38A,"Workshop and Machine Shop Practice (Consists of Fitting  and Machining)",3rd SEMESTER,Mechanical Engineering
18MEL38B,"Foundry Forging and Welding lab",3rd SEMESTER,Mechanical Engineering
18KVK39,Vyavaharika Kannada (Kannada for communication),3rd SEMESTER,Mechanical Engineering
18KAK39,Aadalitha Kannada (Kannada for Administration),3rd SEMESTER,Mechanical Engineering
18CPC39,"Constitution of India, Professional Ethics and Cyber Law",3rd SEMESTER,Mechanical Engineering
18MAT41,Mathematics,4th SEMESTER,Mechanical Engineering
18ME42,Applied Thermodynamics,4th SEMESTER,Mechanical Engineering
18ME43,Fluid Mechanics,4th SEMESTER,Mechanical Engineering
18ME44,Kinematics of Machines,4th SEMESTER,Mechanical Engineering
18ME45A,Metal cutting and forming2,4th SEMESTER,Mechanical Engineering
18ME45B,Metal Casting and Welding2,4th SEMESTER,Mechanical Engineering
18ME46A,Computer Aided Machine Drawing2,4th SEMESTER,Mechanical Engineering
18ME46B,Mechanical Measurements and Metrology2,4th SEMESTER,Mechanical Engineering
18MEL47A,Material Testing lab2,4th SEMESTER,Mechanical Engineering
18MEL47B,Mechanical Measurements and Metrology lab22,4th SEMESTER,Mechanical Engineering
18MEL48A,"Workshop and Machine Shop Practice (Consists of Fitting, and Machining)",4th SEMESTER,Mechanical Engineering
18MEL48B,"Foundry  Forging and Welding lab",4th SEMESTER,Mechanical Engineering
18KVK49,Vyavaharika Kannada (Kannada for communication)2,4th SEMESTER,Mechanical Engineering
